000001	Lima	12.6,1.56,1
000002	Abad	12.0,1.56,1
000003	Ochoa	15.6,1.57,3
000004	Profesional	120.0,234.0,5
000005	Profesional	12.6,1.56,1
000006	Zapata	120.0,300.0,5
000007	Sindicato	120.0,300.0,5
000008	Empresa	320.0,250.0,5
000009	Psicologia	320.0,250.0,5
000010	Family	504.0,250.0,7
000011	Ingenieria	504.0,250.0,7
000012	Modulo	500.0,34.0,3
000013	Leonel	5.0,34.0,3
000014	Melida	432.0,342.0,3
000015	Jorge	234.0,54.3,5
000016	hola	NaN,NaN,0
000017	hola	120.5,123.0,0000018	Practica	120.5,123.0,4
000018	Practica	120.5,123.0,4
000019	todo	120.5,123.0,4
